feature,mean_signal,frac_pos
hsa-miR-423-5p_5_GT,2.365290702869167,0.926829268292683
hsa-let-7i-5p_2_GT,2.013397973769774,0.8292682926829268
hsa-let-7b-5p_2_GT,1.9937172428218533,0.7317073170731707
hsa-miR-103a-3p_2_GT,1.8787433615229572,0.5609756097560976
hsa-miR-423-5p_2_GT,1.8395574262335117,0.7073170731707317
hsa-let-7f-5p_2_GT,1.7190884560962418,0.7560975609756098
hsa-let-7i-5p_4_GT,1.6956524232968837,0.7317073170731707
hsa-let-7i-5p_5_GT,1.5129262107735344,0.6585365853658537
hsa-miR-191-5p_5_GT,1.5042133220767921,0.5609756097560976
hsa-miR-122-5p_2_GT,1.491786553042128,0.5121951219512195
hsa-miR-93-5p_5_GT,1.481920644243608,0.5121951219512195
hsa-let-7a-5p_5_GT,1.40046280833643,0.5121951219512195
